case_id,operator_id,operator,hardware,method,status,reason,latency_us,mode
train:matmul|modeling:B300_POD|tilesim,train:matmul,MatMul,modeling:B300_POD,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|modeling:B300_POD|method3,train:matmul,MatMul,modeling:B300_POD,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:B300_POD|method4,train:matmul,MatMul,modeling:B300_POD,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:B300_Server|profile,train:matmul,MatMul,modeling:B300_Server,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:B300_Server|roofline,train:matmul,MatMul,modeling:B300_Server,roofline,succeeded,,0.32767999999999997,roofline
train:matmul|modeling:B300_Server|tilesim,train:matmul,MatMul,modeling:B300_Server,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|modeling:B300_Server|method3,train:matmul,MatMul,modeling:B300_Server,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:B300_Server|method4,train:matmul,MatMul,modeling:B300_Server,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:H100_POD|profile,train:matmul,MatMul,modeling:H100_POD,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:H100_POD|roofline,train:matmul,MatMul,modeling:H100_POD,roofline,succeeded,,0.7825194029850746,roofline
train:matmul|modeling:H100_POD|tilesim,train:matmul,MatMul,modeling:H100_POD,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|modeling:H100_POD|method3,train:matmul,MatMul,modeling:H100_POD,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:H100_POD|method4,train:matmul,MatMul,modeling:H100_POD,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:H100_Server|profile,train:matmul,MatMul,modeling:H100_Server,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:H100_Server|roofline,train:matmul,MatMul,modeling:H100_Server,roofline,succeeded,,0.7825194029850746,roofline
train:matmul|modeling:H100_Server|tilesim,train:matmul,MatMul,modeling:H100_Server,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|modeling:H100_Server|method3,train:matmul,MatMul,modeling:H100_Server,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:H100_Server|method4,train:matmul,MatMul,modeling:H100_Server,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:H200_POD|profile,train:matmul,MatMul,modeling:H200_POD,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:H200_POD|roofline,train:matmul,MatMul,modeling:H200_POD,roofline,succeeded,,0.5461333333333334,roofline
train:matmul|modeling:H200_POD|tilesim,train:matmul,MatMul,modeling:H200_POD,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|modeling:H200_POD|method3,train:matmul,MatMul,modeling:H200_POD,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:H200_POD|method4,train:matmul,MatMul,modeling:H200_POD,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:H200_Server|profile,train:matmul,MatMul,modeling:H200_Server,profile,not_connected,尚未接入实测参考,,
